Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
bank,Gaussian Naive Bayes,Baseline,0.14353723526000978,0.04518294334411621,144.83529376983643,0.6823585040137413,0.6734619141396748,0.6823585040137413,0.6775940622027236,0.35184016609705393,
bank,Gaussian Naive Bayes,IQR Capping,,,,,,,,,"
All the 10 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
--------------------------------------------------------------------------------
10 fits failed with the following error:
Traceback (most recent call last):
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\model_selection\_validation.py"", line 859, in _fit_and_score
    estimator.fit(X_train, y_train, **fit_params)
    ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 518, in fit
    Xt, yt = self._fit(X, y, routed_params, raw_params=params)
             ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 430, in _fit
    X, fitted_transformer = fit_transform_one_cached(
                            ~~~~~~~~~~~~~~~~~~~~~~~~^
        cloned_transformer,
        ^^^^^^^^^^^^^^^^^^^
    ...<5 lines>...
        params=step_params,
        ^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\memory.py"", line 326, in __call__
    return self.func(*args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 1383, in _fit_transform_one
    res = transformer.fit_transform(X, y, **params.get(""fit_transform"", {}))
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\compose\_column_transformer.py"", line 996, in fit_transform
    result = self._call_func_on_transformers(
        X,
    ...<3 lines>...
        routed_params=routed_params,
    )
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\compose\_column_transformer.py"", line 897, in _call_func_on_transformers
    return Parallel(n_jobs=self.n_jobs)(jobs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\parallel.py"", line 82, in __call__
    return super().__call__(iterable_with_config_and_warning_filters)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\parallel.py"", line 1986, in __call__
    return output if self.return_generator else list(output)
                                                ~~~~^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\parallel.py"", line 1914, in _get_sequential_output
    res = func(*args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\parallel.py"", line 147, in __call__
    return self.function(*args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\pipeline.py"", line 1540, in _fit_transform_one
    res = transformer.fit_transform(X, y, **params.get(""fit_transform"", {}))
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 897, in fit_transform
    return self.fit(X, y, **fit_params).transform(X)
           ~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\outliers\base_outlier.py"", line 250, in fit
    raise ValueError(
    ...<3 lines>...
    )
ValueError: Input columns ['pdays', 'previous'] have low variation for method 'iqr'. Try other capping methods or drop these columns.
"
bank,Gaussian Naive Bayes,Quantile Capping,,,,,,,,,"
All the 10 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
--------------------------------------------------------------------------------
10 fits failed with the following error:
Traceback (most recent call last):
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\model_selection\_validation.py"", line 859, in _fit_and_score
    estimator.fit(X_train, y_train, **fit_params)
    ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 518, in fit
    Xt, yt = self._fit(X, y, routed_params, raw_params=params)
             ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 430, in _fit
    X, fitted_transformer = fit_transform_one_cached(
                            ~~~~~~~~~~~~~~~~~~~~~~~~^
        cloned_transformer,
        ^^^^^^^^^^^^^^^^^^^
    ...<5 lines>...
        params=step_params,
        ^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\memory.py"", line 326, in __call__
    return self.func(*args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 1383, in _fit_transform_one
    res = transformer.fit_transform(X, y, **params.get(""fit_transform"", {}))
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\compose\_column_transformer.py"", line 996, in fit_transform
    result = self._call_func_on_transformers(
        X,
    ...<3 lines>...
        routed_params=routed_params,
    )
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\compose\_column_transformer.py"", line 897, in _call_func_on_transformers
    return Parallel(n_jobs=self.n_jobs)(jobs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\parallel.py"", line 82, in __call__
    return super().__call__(iterable_with_config_and_warning_filters)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\parallel.py"", line 1986, in __call__
    return output if self.return_generator else list(output)
                                                ~~~~^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\parallel.py"", line 1914, in _get_sequential_output
    res = func(*args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\parallel.py"", line 147, in __call__
    return self.function(*args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\pipeline.py"", line 1540, in _fit_transform_one
    res = transformer.fit_transform(X, y, **params.get(""fit_transform"", {}))
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 897, in fit_transform
    return self.fit(X, y, **fit_params).transform(X)
           ~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\outliers\base_outlier.py"", line 250, in fit
    raise ValueError(
    ...<3 lines>...
    )
ValueError: Input columns ['pdays'] have low variation for method 'quantiles'. Try other capping methods or drop these columns.
"
bank,Gaussian Naive Bayes,IQR Removal,,,,,,,,,"
All the 10 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
--------------------------------------------------------------------------------
10 fits failed with the following error:
Traceback (most recent call last):
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\model_selection\_validation.py"", line 859, in _fit_and_score
    estimator.fit(X_train, y_train, **fit_params)
    ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 518, in fit
    Xt, yt = self._fit(X, y, routed_params, raw_params=params)
             ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 440, in _fit
    X, y, fitted_transformer = fit_resample_one_cached(
                               ~~~~~~~~~~~~~~~~~~~~~~~^
        cloned_transformer,
        ^^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        params=routed_params[name],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\memory.py"", line 326, in __call__
    return self.func(*args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 1336, in _fit_resample_one
    X_res, y_res = sampler.fit_resample(X, y, **params.get(""fit_resample"", {}))
                   ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\base.py"", line 419, in fit_resample
    output = self._fit_resample(X, y)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\base.py"", line 434, in _fit_resample
    output = func(X, y, **(self.kw_args if self.kw_args else {}))
  File ""C:\Users\Usuario\AppData\Local\Temp\ipykernel_9688\2634874294.py"", line 16, in Trimmer
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 894, in fit_transform
    return self.fit(X, **fit_params).transform(X)
           ~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\outliers\base_outlier.py"", line 215, in fit
    X = check_X(X)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\dataframe_checks.py"", line 53, in check_X
    raise ValueError(""Input data contains duplicated variable names."")
ValueError: Input data contains duplicated variable names.
"
bank,Gaussian Naive Bayes,Quantile Removal,,,,,,,,,"
All the 10 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
--------------------------------------------------------------------------------
10 fits failed with the following error:
Traceback (most recent call last):
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\model_selection\_validation.py"", line 859, in _fit_and_score
    estimator.fit(X_train, y_train, **fit_params)
    ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 1365, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 518, in fit
    Xt, yt = self._fit(X, y, routed_params, raw_params=params)
             ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 440, in _fit
    X, y, fitted_transformer = fit_resample_one_cached(
                               ~~~~~~~~~~~~~~~~~~~~~~~^
        cloned_transformer,
        ^^^^^^^^^^^^^^^^^^^
    ...<4 lines>...
        params=routed_params[name],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\joblib\memory.py"", line 326, in __call__
    return self.func(*args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\pipeline.py"", line 1336, in _fit_resample_one
    X_res, y_res = sampler.fit_resample(X, y, **params.get(""fit_resample"", {}))
                   ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\base.py"", line 419, in fit_resample
    output = self._fit_resample(X, y)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\imblearn\base.py"", line 434, in _fit_resample
    output = func(X, y, **(self.kw_args if self.kw_args else {}))
  File ""C:\Users\Usuario\AppData\Local\Temp\ipykernel_9688\2634874294.py"", line 16, in Trimmer
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\utils\_set_output.py"", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\sklearn\base.py"", line 894, in fit_transform
    return self.fit(X, **fit_params).transform(X)
           ~~~~~~~~^^^^^^^^^^^^^^^^^
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\outliers\base_outlier.py"", line 215, in fit
    X = check_X(X)
  File ""c:\Users\Usuario\anaconda3\Lib\site-packages\feature_engine\dataframe_checks.py"", line 53, in check_X
    raise ValueError(""Input data contains duplicated variable names."")
ValueError: Input data contains duplicated variable names.
"
bank,Gaussian Naive Bayes,Yeo-Johnson,0.5743702411651611,0.07208724021911621,12.770249366760254,0.5956964314728832,0.5464659877217126,0.5956964314728832,0.35533280517186927,0.33263240089524715,
bank,Gaussian Naive Bayes,Quantile Transform,0.3502441167831421,0.09182653427124024,12.769818305969238,0.6342298556685437,0.5550133726513867,0.6342298556685437,0.44469209226845746,0.3336945314660152,
bank,Gaussian Naive Bayes,Min-Max Scaler,0.3192425727844238,0.07760577201843262,12.769355773925781,0.5826040428868688,0.5438902964436021,0.5826040428868688,0.32747712928787165,0.3343410971111288,
bank,Gaussian Naive Bayes,Standard Scaler,0.3168013572692871,0.06762616634368897,12.768330574035645,0.6047279661664184,0.5484011597617283,0.6047279661664184,0.3738609367695421,0.33783301217028033,
bank,Gaussian Naive Bayes,Robust Scaler,0.3189067840576172,0.07051322460174561,12.768034934997559,0.6831047946444015,0.6395567742952493,0.6831047946444015,0.6555817005913858,0.34354887342198365,
